x_mm,y_mm,active,height_mm,biomass,eps,active_sediment_mm,layer_id
10.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
11.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
12.000000,2.000000,1.000000,11.730304,0.182154,0.181563,0.284578,8.000000
13.000000,2.000000,1.000000,11.734653,0.182158,0.181563,0.291306,9.000000
14.000000,2.000000,1.000000,11.729104,0.182162,0.181562,0.279620,8.000000
15.000000,2.000000,1.000000,11.725349,0.182155,0.181562,0.283150,9.000000
16.000000,2.000000,1.000000,11.718127,0.182153,0.181563,0.283606,8.000000
17.000000,2.000000,1.000000,11.713891,0.182156,0.181566,0.284064,9.000000
18.000000,2.000000,1.000000,11.713452,0.182159,0.181568,0.288557,8.000000
19.000000,2.000000,1.000000,11.713673,0.182161,0.181569,0.286649,9.000000
20.000000,2.000000,1.000000,11.715114,0.182164,0.181571,0.288254,8.000000
21.000000,2.000000,1.000000,11.717852,0.182162,0.181569,0.287623,9.000000
22.000000,2.000000,1.000000,11.720183,0.182158,0.181566,0.288985,9.000000
23.000000,2.000000,1.000000,11.721048,0.182164,0.181571,0.289281,8.000000
24.000000,2.000000,1.000000,11.719994,0.182166,0.181572,0.282913,8.000000
25.000000,2.000000,1.000000,11.719694,0.182168,0.181573,0.284164,9.000000
26.000000,2.000000,1.000000,11.719397,0.182166,0.181571,0.282839,8.000000
27.000000,2.000000,1.000000,11.720187,0.182168,0.181572,0.282115,8.000000
28.000000,2.000000,1.000000,11.721408,0.182171,0.181575,0.284610,8.000000
29.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
30.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
31.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
32.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
33.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
34.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
35.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
36.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
37.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
38.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
39.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
40.000000,2.000000,0.000000,nan,nan,nan,nan,-1.000000
0.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
1.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
2.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
3.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
4.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
5.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
6.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
7.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
8.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
9.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
10.000000,3.000000,1.000000,11.715774,0.182156,0.181566,0.288628,8.000000
11.000000,3.000000,1.000000,11.721229,0.182157,0.181566,0.291831,8.000000
12.000000,3.000000,1.000000,11.728497,0.182156,0.181564,0.279206,8.000000
13.000000,3.000000,1.000000,11.736358,0.182165,0.181564,0.293156,9.000000
14.000000,3.000000,1.000000,11.722791,0.091001,0.072253,0.114741,8.000000
15.000000,3.000000,1.000000,11.728430,0.182164,0.181564,0.282172,8.000000
16.000000,3.000000,1.000000,11.720115,0.182156,0.181564,0.282114,9.000000
17.000000,3.000000,1.000000,11.713925,0.182154,0.181564,0.286064,8.000000
18.000000,3.000000,1.000000,11.713162,0.182155,0.181565,0.283122,8.000000
19.000000,3.000000,1.000000,11.714269,0.182158,0.181566,0.282370,8.000000
20.000000,3.000000,1.000000,11.717660,0.182161,0.181569,0.283777,8.000000
21.000000,3.000000,1.000000,11.723717,0.182163,0.181569,0.286150,8.000000
22.000000,3.000000,1.000000,11.728451,0.182167,0.181571,0.286676,8.000000
23.000000,3.000000,1.000000,11.727858,0.182168,0.181572,0.282723,9.000000
24.000000,3.000000,1.000000,11.725267,0.182167,0.181572,0.289060,8.000000
25.000000,3.000000,1.000000,11.722068,0.182167,0.181572,0.285477,8.000000
26.000000,3.000000,1.000000,11.721167,0.182168,0.181573,0.287371,8.000000
27.000000,3.000000,1.000000,11.719765,0.182168,0.181573,0.278524,8.000000
28.000000,3.000000,1.000000,11.721770,0.182170,0.181574,0.287038,8.000000
29.000000,3.000000,1.000000,11.724388,0.182172,0.181576,0.285483,9.000000
30.000000,3.000000,1.000000,11.723597,0.182174,0.181576,0.287059,8.000000
31.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
32.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
33.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
34.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
35.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
36.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
37.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
38.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
39.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
40.000000,3.000000,0.000000,nan,nan,nan,nan,-1.000000
0.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
1.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
2.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
3.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
4.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
5.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
6.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
7.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
8.000000,4.000000,1.000000,11.713398,0.182152,0.181563,0.287187,8.000000
9.000000,4.000000,1.000000,11.713437,0.182155,0.181565,0.284526,8.000000
10.000000,4.000000,1.000000,11.715877,0.182157,0.181566,0.290718,9.000000
11.000000,4.000000,1.000000,11.722808,0.182158,0.181566,0.286577,9.000000
12.000000,4.000000,1.000000,11.737122,0.182160,0.181567,0.290353,8.000000
13.000000,4.000000,1.000000,11.744964,0.182161,0.181563,0.285172,9.000000
14.000000,4.000000,1.000000,11.740864,0.182166,0.181564,0.285737,8.000000
15.000000,4.000000,1.000000,11.732839,0.182157,0.181563,0.288781,9.000000
16.000000,4.000000,1.000000,11.721925,0.182155,0.181564,0.290342,9.000000
17.000000,4.000000,1.000000,11.715229,0.182153,0.181564,0.285513,8.000000
18.000000,4.000000,1.000000,11.712195,0.182154,0.181564,0.280675,8.000000
19.000000,4.000000,1.000000,11.715649,0.182157,0.181566,0.285824,9.000000
20.000000,4.000000,1.000000,11.721983,0.182159,0.181567,0.280359,8.000000
21.000000,4.000000,1.000000,11.729575,0.182167,0.181569,0.285672,8.000000
22.000000,4.000000,1.000000,11.732153,0.182176,0.181571,0.284463,8.000000
23.000000,4.000000,1.000000,11.733475,0.182171,0.181571,0.284882,9.000000
24.000000,4.000000,1.000000,11.729205,0.182168,0.181571,0.290196,9.000000
25.000000,4.000000,1.000000,11.724385,0.182167,0.181572,0.286231,8.000000
26.000000,4.000000,1.000000,11.722711,0.182169,0.181573,0.284466,8.000000
27.000000,4.000000,1.000000,11.721653,0.182168,0.181573,0.285107,8.000000
28.000000,4.000000,1.000000,11.721349,0.182168,0.181572,0.279994,8.000000
29.000000,4.000000,1.000000,11.722949,0.182171,0.181574,0.283305,8.000000
30.000000,4.000000,1.000000,11.726908,0.182172,0.181575,0.282803,9.000000
31.000000,4.000000,1.000000,11.731062,0.182172,0.181575,0.283591,9.000000
32.000000,4.000000,1.000000,11.734127,0.182176,0.181577,0.285817,9.000000
33.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
34.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
35.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
36.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
37.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
38.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
39.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
40.000000,4.000000,0.000000,nan,nan,nan,nan,-1.000000
0.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
1.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
2.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
3.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
4.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
5.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
6.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
7.000000,5.000000,1.000000,11.715872,0.182157,0.181566,0.291252,8.000000
8.000000,5.000000,1.000000,11.713898,0.182157,0.181566,0.287910,8.000000
9.000000,5.000000,1.000000,11.714144,0.182157,0.181566,0.288275,8.000000
10.000000,5.000000,1.000000,11.715748,0.182158,0.181567,0.284107,8.000000
11.000000,5.000000,1.000000,11.728602,0.182159,0.181567,0.289561,8.000000
12.000000,5.000000,1.000000,11.745228,0.182163,0.181566,0.284470,9.000000
13.000000,5.000000,1.000000,11.754021,0.182170,0.181565,0.288987,8.000000
14.000000,5.000000,1.000000,11.749767,0.182160,0.181562,0.287390,8.000000
15.000000,5.000000,1.000000,11.735820,0.182155,0.181562,0.290488,8.000000
16.000000,5.000000,1.000000,11.721469,0.182154,0.181564,0.292223,8.000000
17.000000,5.000000,1.000000,11.713908,0.182153,0.181564,0.280457,8.000000
18.000000,5.000000,1.000000,11.713113,0.182154,0.181564,0.291795,8.000000
19.000000,5.000000,1.000000,11.716033,0.182157,0.181566,0.285574,9.000000
20.000000,5.000000,1.000000,11.723688,0.182159,0.181565,0.283120,8.000000
21.000000,5.000000,1.000000,11.730913,0.182171,0.181568,0.280440,8.000000
22.000000,5.000000,1.000000,11.723722,0.091003,0.072254,0.114976,8.000000
23.000000,5.000000,1.000000,11.733848,0.182176,0.181571,0.280103,8.000000
24.000000,5.000000,1.000000,11.731270,0.182167,0.181570,0.287434,8.000000
25.000000,5.000000,1.000000,11.725776,0.182167,0.181571,0.287639,9.000000
26.000000,5.000000,1.000000,11.723473,0.182168,0.181573,0.283819,9.000000
27.000000,5.000000,1.000000,11.720640,0.182168,0.181573,0.284813,8.000000
28.000000,5.000000,1.000000,11.720763,0.182168,0.181573,0.284658,9.000000
29.000000,5.000000,1.000000,11.725945,0.182169,0.181573,0.288304,8.000000
30.000000,5.000000,1.000000,11.731035,0.182171,0.181574,0.281749,8.000000
31.000000,5.000000,1.000000,11.739063,0.182173,0.181574,0.287205,8.000000
32.000000,5.000000,1.000000,11.744853,0.182175,0.181574,0.287779,8.000000
33.000000,5.000000,1.000000,11.749736,0.182174,0.181574,0.286366,8.000000
34.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
35.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
36.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
37.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
38.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
39.000000,5.000000,0.000000,nan,nan,nan,nan,-1.000000
