x_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
0.000000,11.443636,0.092465,0.074397,0.112517,8.000000
1.000000,11.449092,0.092467,0.074398,0.116819,8.000000
2.000000,11.454250,0.092469,0.074398,0.116761,8.000000
3.000000,11.457227,0.092469,0.074398,0.114462,8.000000
4.000000,11.459137,0.092471,0.074399,0.116125,8.000000
5.000000,11.454619,0.092473,0.074400,0.114284,8.000000
6.000000,11.441698,0.092470,0.074399,0.116678,8.000000
7.000000,11.434693,0.115970,0.104648,0.185180,7.000000
8.000000,11.429746,0.092468,0.074400,0.114754,8.000000
9.000000,11.449842,0.114376,0.102689,0.178223,7.000000
10.000000,11.470977,0.092479,0.074402,0.112295,8.000000
11.000000,11.491009,0.092484,0.074403,0.115419,8.000000
12.000000,11.491867,0.092482,0.074402,0.115978,8.000000
13.000000,11.472429,0.092477,0.074401,0.113274,8.000000
14.000000,11.444058,0.092465,0.074397,0.112526,8.000000
15.000000,11.424533,0.092453,0.074393,0.114477,8.000000
16.000000,11.422762,0.092459,0.074395,0.111918,8.000000
17.000000,11.432811,0.092466,0.074397,0.113538,8.000000
18.000000,11.445415,0.092468,0.074398,0.114505,8.000000
19.000000,11.452535,0.092468,0.074398,0.116136,8.000000
20.000000,11.458843,0.092469,0.074398,0.113905,8.000000
21.000000,11.465928,0.092471,0.074399,0.116364,8.000000
22.000000,11.470821,0.092474,0.074400,0.113695,8.000000
23.000000,11.468398,0.092477,0.074401,0.115026,8.000000
24.000000,11.453572,0.092474,0.074401,0.114137,8.000000
25.000000,11.431879,0.115982,0.104654,0.184818,7.000000
26.000000,11.397397,0.092468,0.074400,0.117169,8.000000
27.000000,11.380808,0.111304,0.098922,0.173641,7.000000
28.000000,11.405624,0.560459,0.600959,0.538941,7.000000
29.000000,11.364094,0.092447,0.074392,0.115595,8.000000
30.000000,11.370352,0.092447,0.074392,0.112567,8.000000
31.000000,11.412112,0.114362,0.102684,0.181608,7.000000
32.000000,11.457444,0.092477,0.074402,0.114152,8.000000
33.000000,11.501949,0.092487,0.074404,0.116238,8.000000
34.000000,11.526816,0.092488,0.074404,0.116825,8.000000
35.000000,11.536408,0.092488,0.074404,0.111949,8.000000
36.000000,11.543081,0.092489,0.074405,0.115284,8.000000
37.000000,11.544042,0.092491,0.074405,0.115143,8.000000
38.000000,11.534460,0.092493,0.074406,0.114483,8.000000
39.000000,11.510814,0.092488,0.074405,0.116956,8.000000
40.000000,11.486924,0.114394,0.102698,0.179902,7.000000
41.000000,11.467884,0.092472,0.074400,0.115460,8.000000
42.000000,11.474336,0.092465,0.074396,0.115409,8.000000
43.000000,11.499744,0.092479,0.074401,0.115823,8.000000
44.000000,11.532566,0.092490,0.074405,0.114937,8.000000
45.000000,11.560758,0.092495,0.074407,0.115728,8.000000
46.000000,11.581764,0.092499,0.074408,0.115698,8.000000
47.000000,11.601053,0.092502,0.074408,0.115915,8.000000
48.000000,11.620954,0.092507,0.074410,0.113513,8.000000
49.000000,11.643034,0.092513,0.074412,0.114053,8.000000
50.000000,11.660004,0.092520,0.074415,0.114389,8.000000
51.000000,11.663535,0.092524,0.074416,0.115900,8.000000
52.000000,11.658456,0.096926,0.080425,0.134439,8.000000
53.000000,11.658266,0.114476,0.102733,0.181183,7.000000
54.000000,11.649113,0.092527,0.074419,0.116607,8.000000
55.000000,11.653060,0.116087,0.104702,0.186116,7.000000
56.000000,11.663977,0.114479,0.102735,0.185730,7.000000
57.000000,11.684964,0.092530,0.074418,0.112318,8.000000
58.000000,11.708419,0.092535,0.074419,0.114002,8.000000
59.000000,11.712169,0.092532,0.074418,0.115432,8.000000
60.000000,11.694496,0.092530,0.074418,0.116221,8.000000
61.000000,11.666028,0.092521,0.074415,0.114947,8.000000
62.000000,11.649915,0.117718,0.106708,0.187921,7.000000
63.000000,11.635184,0.092517,0.074414,0.113954,8.000000
64.000000,11.625900,0.092517,0.074414,0.113106,8.000000
65.000000,11.603953,0.092505,0.074410,0.115423,8.000000
66.000000,11.580433,0.092489,0.074404,0.116648,8.000000
67.000000,11.571207,0.092497,0.074408,0.113796,8.000000
68.000000,11.589596,0.114436,0.102715,0.178705,7.000000
69.000000,11.609779,0.092513,0.074413,0.115693,8.000000
70.000000,11.624088,0.092519,0.074415,0.116693,8.000000
71.000000,11.614253,0.092513,0.074413,0.115298,8.000000
72.000000,11.594968,0.116045,0.104680,0.183613,7.000000
73.000000,11.566510,0.092504,0.074411,0.115841,8.000000
74.000000,11.552980,0.112878,0.100805,0.179829,7.000000
75.000000,11.537175,0.092491,0.074406,0.113090,8.000000
76.000000,11.540959,0.092480,0.074401,0.114198,8.000000
77.000000,11.562141,0.092492,0.074406,0.113770,8.000000
78.000000,11.591723,0.092504,0.074410,0.116070,8.000000
79.000000,11.614530,0.092510,0.074411,0.113871,8.000000
80.000000,11.622221,0.092512,0.074412,0.113273,8.000000
81.000000,11.612180,0.092511,0.074412,0.117520,8.000000
82.000000,11.579891,0.092506,0.074411,0.115669,8.000000
83.000000,11.548174,0.114424,0.102711,0.184810,7.000000
84.000000,11.528731,0.092483,0.074404,0.114096,8.000000
85.000000,11.570067,0.619134,0.665100,0.542100,7.000000
86.000000,11.544319,0.092488,0.074405,0.112431,8.000000
87.000000,11.575379,0.114440,0.102718,0.176017,7.000000
88.000000,11.607708,0.092517,0.074415,0.113475,8.000000
89.000000,11.626717,0.092521,0.074416,0.113605,8.000000
90.000000,11.628156,0.112905,0.100815,0.180279,7.000000
91.000000,11.618220,0.092513,0.074414,0.114896,8.000000
92.000000,11.623417,0.117715,0.106707,0.185253,7.000000
93.000000,11.626517,0.092517,0.074414,0.113220,8.000000
94.000000,11.632339,0.092518,0.074415,0.115441,8.000000
95.000000,11.640020,0.116058,0.104685,0.182324,7.000000
96.000000,11.638478,0.092519,0.074415,0.115267,8.000000
97.000000,11.630377,0.092520,0.074415,0.116092,8.000000
98.000000,11.593335,0.092508,0.074411,0.114542,8.000000
99.000000,11.541186,0.092487,0.074404,0.115322,8.000000
100.000000,11.509454,0.114416,0.102710,0.181240,7.000000
