x_mm,y_mm,active,initial_dome_height_mm,height_mm,growth_thickness_mm,biomass,eps,active_sediment_mm,layer_id
25.000000,1.000000,1.000000,0.330729,16.151219,15.470490,0.186994,0.184316,0.294129,8.000000
26.000000,1.000000,1.000000,0.071308,16.148997,15.727689,0.186991,0.184314,0.290878,9.000000
27.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
28.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
29.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
30.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
31.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
32.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
33.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
34.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
35.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
36.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
37.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
38.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
39.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
40.000000,1.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
0.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
1.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
2.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
3.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
4.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
5.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
6.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
7.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
8.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
9.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
10.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
11.000000,2.000000,0.000000,nan,nan,nan,nan,nan,nan,-1.000000
12.000000,2.000000,1.000000,0.283797,16.155935,15.522138,0.186976,0.184304,0.286041,8.000000
13.000000,2.000000,1.000000,0.633308,16.163008,15.179700,0.186984,0.184306,0.292799,9.000000
14.000000,2.000000,1.000000,0.931712,16.160602,14.878890,0.186993,0.184307,0.281050,8.000000
15.000000,2.000000,1.000000,1.181073,16.162837,14.631764,0.186990,0.184309,0.284598,9.000000
16.000000,2.000000,1.000000,1.383029,16.162813,14.429784,0.186996,0.184315,0.285061,8.000000
17.000000,2.000000,1.000000,1.538855,16.165268,14.276413,0.187007,0.184323,0.285525,9.000000
18.000000,2.000000,1.000000,1.649503,16.169799,14.170296,0.187016,0.184328,0.290046,8.000000
19.000000,2.000000,1.000000,1.715633,16.172420,14.106787,0.187021,0.184331,0.288127,9.000000
20.000000,2.000000,1.000000,1.737634,16.173804,14.086170,0.187022,0.184332,0.289730,8.000000
